,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
196706,20.52,19.68,17.08,18.54,15.34,57.71,60.06,58.41,56.8,55.25,123.14,113.8,114.48,126.96,103.87,309.66,285.03,245.98,273.99,258.08,2173.6,1001.96,2083.75,1131.25,944.76
196707,20.07,20,18.63,18.66,16.2,58.15,65.39,58.27,60.33,57.48,128.39,124.89,120.45,119.08,115.53,295.04,287.61,297.34,261.48,290.55,1832.54,1454.02,2231.66,852.98,1164.23
196708,22.23,21.85,20.5,20.07,18.1,62.05,69.29,63.62,65.94,62.24,135.2,130.16,127.78,127.52,129.66,310,300.12,311.91,279.57,315.98,1912.46,1537.08,2275.51,901.44,1235.19
196709,22.04,21.91,20.63,20.01,18.42,61.19,68.14,63.79,66.26,62.59,130.95,131.25,128.68,128.88,128.26,306.58,293.99,306.18,284.36,330.88,1895.86,1510.23,2223.69,899.79,1242.7
196710,24.59,24.06,22.41,21.46,19.1,64.15,71.5,68.33,69.99,64.42,138.24,133.39,131.93,134.44,130.96,317.56,297.83,311.83,294.75,331.37,1966.36,1555.28,2316.05,920.24,1244.44
196711,24.98,23.02,22.06,21.19,18.58,63.48,69.94,68.72,67.77,61.06,133.3,130.95,127.66,129.5,127.54,303.72,279.87,294.32,288.24,312.99,1958.24,1492.61,2252.76,860.25,1159.74
196712,24.7,24.02,21.79,20.82,18.3,64.16,70.04,69.79,67.48,60.8,136.75,131.33,127.92,128.61,126.11,312.94,281.57,294.06,288.15,309.4,1976.52,1487.25,2234.49,851.65,1150.77
196801,27.9,26.49,23.55,22.69,20.15,71.86,74.61,76.03,70.95,64.9,147.13,137.52,133.73,135.74,130.82,316.9,288.44,307.2,301.02,319.93,2013.29,1531.82,2280.21,897.48,1181.8
196802,28.77,27.06,24.25,23.4,21.35,68.15,72.68,75.95,70.46,66.5,136.92,136.7,131.92,134.15,134.53,292.11,288.07,298.12,299.75,317.81,1883.98,1441.52,2290.54,872.22,1174.81
196803,25.48,25.13,22.92,21.7,20.09,63.12,68.37,68.93,67.68,62.35,127.33,130.82,127.57,130.25,128.03,275.85,276.79,288.53,283.04,304.02,1821.32,1399.59,2227.36,840.41,1143.74
196804,24.97,25.07,22.84,21.2,20,62.31,67.22,68.95,66.64,62.31,129.72,129.64,124.75,130.89,126.88,276.98,271.27,283.78,282.62,302.37,1875.94,1384.41,2216.76,823.58,1165.52
196805,30.31,29.59,26.48,24.66,23.15,74.09,76,80.12,73.76,69.73,150.58,145.36,134.72,144.08,149.23,311.94,290.35,306.85,318,336.93,2076.78,1484,2285.23,898.6,1283.41
196806,33.52,33.28,29.36,27.43,25.82,82.97,81.3,85.01,79.11,74.51,163.69,151.34,140.89,151.2,159.08,326.7,303.11,314.6,325.62,356.02,2118.3,1490.12,2250.82,884.82,1332.51
196807,28.53,28.54,26.29,26.53,26.01,82.54,80.93,79.74,79.1,81.22,151.2,161.52,153.52,156.95,145.15,335.31,336.8,343.84,364.95,342.82,2560.2,1701.18,1518.88,1779.02,1182.49
