,Agric,Mines,Oil  ,Stone,Cnstr,Food ,Smoke,Txtls,Apprl,Wood ,Chair,Paper,Print,Chems,Ptrlm,Rubbr,Lethr,Glass,Metal,MtlPr,Machn,Elctr,Cars ,Instr,Manuf,Trans,Phone,TV   ,Utils,Garbg,Steam,Water,Whlsl,Rtail,Money,Srvc 
201012,15.83,14.19,9.7,12.32,15.02,3.87,4.23,4.19,3.8,18.4,7.45,3.99,8.27,5,8.75,2.72,-1.75,16.29,13.32,7.53,6.41,5.72,5.86,8.91,3.75,3.19,8.27,5.38,3.22,7.99,-99.99,-99.99,6.83,2.75,10.51,6.72
201101,5.01,-5.29,6.14,-4.41,6.73,-2.59,-3.29,-3.65,-3.63,-2.4,1.56,6.26,2.48,-0.99,7.93,-1.8,-2.42,0.57,3.98,2.75,4.67,5.74,3.89,3.49,-3.72,-0.48,-2.54,2.33,2.23,2.44,-99.99,-99.99,2.8,-1.47,2.25,2.21
201102,-1.2,0.27,7.74,6.26,-0.44,3.5,8.65,7.1,10.4,3.1,3.58,1.23,3.01,2.97,8.13,7.33,7.25,6.06,3.98,2.9,2.38,4.1,0.46,4.07,3.42,1.42,2.35,11.94,2.43,-0.11,-99.99,-99.99,2.97,1.89,2.67,2.49
201103,0.33,2.83,2.2,-0.91,1.71,2.63,6.33,4.5,1.97,6.2,2.54,2.25,-0.04,1.93,1.23,-6.7,-2.22,2.7,0.75,2.87,-0.51,-2.96,2.14,1.46,0.22,3.01,5.76,-1.27,0.91,1.99,-99.99,-99.99,1.47,0.95,-1.48,0.02
201104,-4.16,-1.44,0.17,0.89,-0.34,4.79,5.39,4.95,6.42,-5.54,3.43,1.36,0.26,6.29,2.42,7.74,10.3,2.08,0.58,1.06,1.48,4.6,2.35,3.63,4.4,2.93,1.84,4.65,3.99,4.64,-99.99,-99.99,4.06,4.6,0.65,2.94
201105,2.86,-5.64,-4.68,-6.57,-2.82,1.42,4.5,2.89,-1.99,-9.07,-2.3,2.83,2.33,1.48,-4.38,1.98,1.61,-0.29,-5.35,-0.1,-3.55,-1.85,-2.26,0.49,-1.27,-0.44,1.49,0.23,1.3,-0.5,-99.99,-99.99,1.2,0.83,-2.52,-1.72
201106,1.51,-3.03,-3.22,-4.22,-5.31,-0.01,-5.6,-6.35,3.83,-8.6,4.18,-2.05,-1.43,-1.55,-1.71,3.71,2.02,-5.42,-1.89,-1.73,-2.65,-3.62,0.07,-1.69,0.22,-0.47,-0.78,-1.59,-0.34,-1.93,-99.99,-99.99,-2.1,-0.69,-2.19,-1.2
201107,1.31,1.1,3.11,-7.61,-4.95,-1.89,2.86,-6.29,3.35,-1.86,-9.37,-3.64,-3.72,-2.72,-1.47,-1.34,1.43,-7.16,-6.22,-6.28,1.25,-6.35,-7.39,-6.83,-3.84,-5.09,-5.92,-4.33,-0.35,-8.65,-99.99,-99.99,-4.58,0,-3.91,-0.04
201108,-6.75,-6.51,-14.12,-0.97,-10.01,0.5,0.33,-7.01,-3.84,-5.6,-11.7,-2.64,-7.22,-2.33,-6.46,-5.25,-10.52,-11.94,-13.2,-6.43,-7.47,-7.42,-8.92,-6.75,-5.85,-6.98,-2.26,-7.88,0.14,4.43,-99.99,-99.99,-4.05,-2.61,-9.15,-7.17
201109,-12.83,-25.17,-20.58,-17.85,-15.98,-3.65,-4.93,-14.41,-6.98,-15.01,-13,-4.77,-8.53,-5.22,-5.68,-5.75,-6.18,-23.08,-20.49,-13.77,-7.95,-6.54,-8.62,-8.98,-8.4,-9.34,-2.3,-8.96,-1.63,-4.2,-99.99,-99.99,-8.14,-3.18,-11.04,-6.3
